overall_rank,player_name,position,team,predicted_points,vor
131,William Dissly,TE,SEA,11.891837302514729,-4.09961416682587
132,Darren Waller,TE,LV,11.890364347009715,-4.101676304532889
133,Tyshun Samuel,WR,SF,16.801449079113667,-4.120872851237752
134,K.J. Osborn,WR,MIN,16.76880008287482,-4.160051646724369
135,Jacoby Brissett,QB,CLE,27.41130147516541,-4.425399596828744
136,Cordarrelle Patterson,RB,ATL,20.461042813977148,-4.5707438416288255
137,Marquise Brown,WR,ARI,16.39182345052193,-4.6124236055478365
138,DeAndre Hopkins,WR,ARI,16.318638187560637,-4.700245921101387
139,Samaje Perine,RB,CIN,20.325845430026995,-4.773539917554055
140,Curtis Samuel,WR,WAS,16.15171158920508,-4.900557839128053
141,Davis Mills,QB,HOU,26.724996208577913,-5.043074336757491
142,Mackenzie Hollins,WR,LV,16.025101018198757,-5.052490524335643
143,Michael Jones,QB,NE,26.57088641115645,-5.181773154436807
144,Ryan Tannehill,QB,TEN,26.557234671761258,-5.194059719892481
145,Brandin Cooks,WR,HOU,15.865147298833236,-5.244434987574269
146,Kenneth Pickett,QB,PIT,26.375137423937304,-5.357947242934039
147,Parris Campbell,WR,IND,15.73927536366558,-5.395481309775455
148,Matthew Ryan,QB,IND,26.210132406455912,-5.506451758667292
149,Derrick Watson,QB,CLE,26.159733904139536,-5.55181041075203
150,Michael Carter,RB,NYJ,19.789277585027467,-5.578391685053347
151,Tyler Huntley,QB,BAL,26.10171059801863,-5.604031386260845
152,Malik Willis,QB,TEN,26.10171059801863,-5.604031386260845
153,Carey Hardman,WR,KC,15.459945784081114,-5.730676805276815
154,James Garoppolo,QB,SF,25.954375240856994,-5.736633207706318
155,Richard James,WR,NYG,15.45365655404109,-5.738223881324843
156,Sam Darnold,QB,CAR,25.77198361648438,-5.90078566964167
157,Darius Slayton,WR,NYG,15.313423166595198,-5.906503946259914
158,Treylon Burks,WR,TEN,15.269488060902416,-5.959226073091252
159,Bryce Perkins,QB,LA,25.65743514359305,-6.003879295243866
160,Samuel Ehlinger,QB,IND,25.65743514359305,-6.003879295243866
161,Greg Dortch,WR,ARI,15.212843825022224,-6.027199156147483
162,Zachary Wilson,QB,NYJ,25.625913253658545,-6.032248996184921
163,Baker Mayfield,QB,LA,25.625913253658545,-6.032248996184921
164,Taylor Heinicke,QB,WAS,25.58258556928966,-6.07124391211692
165,Marquez Valdes-Scantling,WR,KC,15.171193647817008,-6.077179368793742
166,Carson Wentz,QB,WAS,25.55658613516672,-6.094643402827563
167,Braxton Berrios,WR,NYJ,15.15562190738692,-6.0958654573098485
168,Kalif Raymond,WR,DET,15.145624465910776,-6.10786238708122
