player_id,player_name,team,position,predicted_points,vor_value,position_rank,is_replacement_level,tier,age,bye_week,adp,adjusted_score,scarcity_multiplier,overall_rank,overall_tier,rb_tier,wr_tier,te_tier,qb_tier
00-0039543,Ramel Keyton,LV,WR,2.150481986066278,-5.059490177775791,220,False,16,25,7,-1,-5.06,1.0,514,8,,6.0,,
00-0032688,Robbie Chosen,MIA,WR,2.14983546611926,-5.060136697722808,221,False,16,25,7,-1,-5.06,1.0,515,8,,6.0,,
00-0039392,Jha'Quan Jackson,TEN,WR,2.1233864831144844,-5.086585680727584,222,False,16,25,7,-1,-5.09,1.0,516,8,,6.0,,
00-0039853,Javon Baker,NE,WR,2.117291460921704,-5.092680702920364,223,False,16,25,7,-1,-5.09,1.0,517,8,,6.0,,
00-0034487,Trent Sherfield,MIN,WR,2.116307939908866,-5.093664223933203,224,False,16,25,7,-1,-5.09,1.0,518,8,,6.0,,
00-0036463,Chris Blair,ATL,WR,2.111034184667082,-5.098937979174986,225,False,16,25,7,-1,-5.1,1.0,519,8,,6.0,,
00-0033662,Cooper Rush,DAL,QB,11.438764737919191,-5.161824657443242,31,False,8,25,7,-1,-4.13,0.8,520,8,,,,6.0
00-0038647,Ronnie Bell,SF,WR,2.0422258733140852,-5.167746290527983,226,False,16,25,7,-1,-5.17,1.0,521,8,,6.0,,
00-0033891,Zay Jones,ARI,WR,2.0338169659458467,-5.176155197896222,227,False,16,25,7,-1,-5.18,1.0,522,8,,6.0,,
00-0033077,Dak Prescott,DAL,QB,11.41964277812368,-5.180946617238753,32,False,8,25,7,-1,-4.14,0.8,523,8,,,,6.0
00-0039152,Will Levis,TEN,QB,11.127489112263664,-5.47310028309877,33,False,8,25,7,-1,-4.38,0.8,524,8,,,,6.0
00-0026158,Joe Flacco,IND,QB,11.04448252470575,-5.556106870656684,34,False,8,25,7,-1,-4.44,0.8,525,8,,,,6.0
00-0038579,Aidan O'Connell,LV,QB,10.998377689319845,-5.6022117060425884,35,False,8,25,7,-1,-4.48,0.8,526,8,,,,6.0
00-0031503,Jameis Winston,CLE,QB,10.977201050415756,-5.623388344946678,36,False,8,25,7,-1,-4.5,0.8,527,8,,,,6.0
00-0036971,Trevor Lawrence,JAX,QB,10.932624658296307,-5.667964737066127,37,False,8,25,7,-1,-4.53,0.8,528,8,,,,6.0
00-0035289,Gardner Minshew,LV,QB,10.862250964227005,-5.738338431135428,38,False,8,25,7,-1,-4.59,0.8,529,8,,,,6.0
