overall_rank,player_name,position,team,predicted_points,raw_vor,vor
69,Davante Adams,RB,NYJ,28.613023912897706,0.582536054269589,0.8738040814043835
70,Garrett Wilson,RB,NYJ,28.457827082293836,0.42733922366571875,0.6410088354985781
71,Malik Nabers,RB,NYG,28.457827082293836,0.42733922366571875,0.6410088354985781
72,Ladd McConkey,RB,LAC,28.447397839756412,0.41690998112829547,0.6253649716924432
73,Patrick Mahomes,QB,KC,36.0846231586023,0.5063791584757098,0.4557412426281388
74,Bo Nix,QB,DEN,36.039736526918865,0.46149252679227715,0.41534327411304944
75,Malik Nabers,TE,NYG,24.837449511446856,0.25687103627299024,0.3596194507821863
76,DJ Moore,WR,CHI,23.548975952155704,0.2850824165005825,0.342098899800699
77,Jaxon Smith-Njigba,TE,SEA,24.73297170376261,0.1523932285887426,0.21335052002423963
78,CeeDee Lamb,TE,DAL,24.637276709301307,0.05669823412744179,0.0793775277784185
79,Garrett Wilson,TE,NYJ,24.635308003991412,0.054729528817546225,0.0766213403445647
80,Justin Herbert,QB,LAC,35.63585380000309,0.057609799876502166,0.05184881988885195
81,Jauan Jennings,WR,SF,23.28050472253816,0.016611186883039863,0.019933424259647836
82,Brock Bowers,TE,LV,24.590022162324413,0.00944368715054722,0.013221162010766107
83,Xavier Weaver,K,ARI,13.376762800570372,0.0,0.0
84,Keon Coleman,K,BUF,13.376762800570372,0.0,0.0
85,Joe Milton III,K,NE,13.376762800570372,0.0,0.0
86,Casey Washington,K,ATL,13.376762800570372,0.0,0.0
87,Jase McClellan,K,ATL,13.376762800570372,0.0,0.0
88,Jha'Quan Jackson,K,TEN,13.376762800570372,0.0,0.0
89,Kimani Vidal,K,LAC,13.376762800570372,0.0,0.0
90,Bub Means,K,NO,13.376762800570372,0.0,0.0
91,Tyrone Tracy Jr.,K,NYG,13.376762800570372,0.0,0.0
92,Ryan Flournoy,K,DAL,13.376762800570372,0.0,0.0
93,Brevyn Spann-Ford,K,DAL,13.376762800570372,0.0,0.0
94,Ainias Smith,K,PHI,13.376762800570372,0.0,0.0
95,Ramel Keyton,K,LV,13.376762800570372,0.0,0.0
96,Kameron Johnson,K,TB,13.376762800570372,0.0,0.0
97,Blake Corum,K,LA,13.376762800570372,0.0,0.0
98,Dylan Laube,K,LV,13.376762800570372,0.0,0.0
99,Jaheim Bell,K,NE,13.376762800570372,0.0,0.0
100,Jalen Coker,K,CAR,13.376762800570372,0.0,0.0
101,Devaughn Vele,K,DEN,13.376762800570372,0.0,0.0
102,Isaiah Williams,K,CIN,13.376762800570372,0.0,0.0
103,Brenden Bates,K,CLE,13.376762800570372,0.0,0.0
104,Xavier Worthy,K,KC,13.376762800570372,0.0,0.0
105,Brian Thomas Jr.,K,JAX,13.376762800570372,0.0,0.0
106,Adonai Mitchell,K,IND,13.376762800570372,0.0,0.0
107,Malik Washington,K,MIA,13.376762800570372,0.0,0.0
108,Bo Nix,K,DEN,13.376762800570372,0.0,0.0
109,Ray Davis,K,BUF,13.376762800570372,0.0,0.0
110,Troy Franklin,K,DEN,13.376762800570372,0.0,0.0
111,Spencer Rattler,K,NO,13.376762800570372,0.0,0.0
112,Jordan Whittington,K,LA,13.376762800570372,0.0,0.0
113,Will Shipley,K,PHI,13.376762800570372,0.0,0.0
114,Tip Reiman,K,ARI,13.376762800570372,0.0,0.0
115,Jermaine Jackson,K,NO,13.376762800570372,0.0,0.0
116,JC Latham,K,TEN,13.376762800570372,0.0,0.0
117,Ty Chandler,K,MIN,13.376762800570372,0.0,0.0
118,Khalil Shakir,K,BUF,13.376762800570372,0.0,0.0
119,Dameon Pierce,K,HOU,13.376762800570372,0.0,0.0
120,David Bell,K,CLE,13.376762800570372,0.0,0.0
121,Rachaad White,K,TB,13.376762800570372,0.0,0.0
122,Marcus Jones,K,NE,13.376762800570372,0.0,0.0
123,Greg Dulcich,K,NYG,13.376762800570372,0.0,0.0
124,James Cook,K,BUF,13.376762800570372,0.0,0.0
125,Jayden Daniels,K,WAS,13.376762800570372,0.0,0.0
126,George Pickens,K,PIT,13.376762800570372,0.0,0.0
127,Tyler Smith,K,DAL,13.376762800570372,0.0,0.0
128,Jameson Williams,K,DET,13.376762800570372,0.0,0.0
129,Andrew Ogletree,K,IND,13.376762800570372,0.0,0.0
130,Tyler Allgeier,K,ATL,13.376762800570372,0.0,0.0
131,Jerome Ford,K,CLE,13.376762800570372,0.0,0.0
132,Vederian Lowe,K,NE,13.376762800570372,0.0,0.0
133,Cody Schrader,K,LA,13.376762800570372,0.0,0.0
